"","Mech","lScore","pred","mean_resid","median_resid"
"47","Phoenix Hawk",7.59741768061903,7.77121278710867,-0.173795106489638,-0.209571041519893
"48","Quickdraw",7.72297109781422,7.82684295376297,-0.103871855948748,-0.139762797979832
"49","Raven",7.77296704250889,7.72261516888122,0.0503518736276786,0.0189184204006123
"50","Rifleman",7.77430618779283,7.82684295376297,-0.0525367659701376,-0.0835732529339621
"51","Shadow Cat",7.89037173235299,7.77121278710867,0.11915894524432,0.0738116301328109
"52","Shadow Hawk",7.83961144024113,7.81001723583936,0.0295942044017705,-0.020976834181881
"53","Spider",7.68069923471438,7.69280647091273,-0.0121072361983493,-0.0604053443112766
"54","Stalker",7.92152552978462,7.89419633203854,0.0273291977460766,0.00829110512431086
"55","Stormcrow",7.92596184878294,7.81001723583936,0.115944612943586,0.0783172648992956
"56","Summoner",7.74590156834616,7.85665165173145,-0.110750083385292,-0.142420506882367
"57","Thunderbolt",7.81862845707273,7.84232111383527,-0.0236926567625386,-0.0699895386656531
"58","Timber Wolf",7.91378554112956,7.86999306333235,0.0437924777972142,0.018716460849669
"59","Trebuchet",7.7322765109609,7.7915867471364,-0.0593102361755064,-0.0863242722700779
"60","Urban Mech",7.54897662040118,7.69280647091273,-0.143829850511546,-0.196154032744447
"61","Victor",7.71121402874526,7.88247312041726,-0.171259091672,-0.19310201288757
"62","Vindicator",7.65417228977442,7.77121278710867,-0.117040497334257,-0.160855168795835
"63","Warhammer",7.92036320800286,7.85665165173145,0.0637115562714048,0.0290537395115678
"64","Warhawk",7.96657831247259,7.89419633203854,0.0723819804340422,0.0399589014977781
"65","Wolf Hound",7.66036135380444,7.72261516888122,-0.0622538150767779,-0.0940975423061605
"66","Wolverine",7.77719132151947,7.81001723583936,-0.032825914319885,-0.0628522693190234
"67","Zeus",7.81186368029867,7.88247312041726,-0.0706094401185868,-0.0996658575775653
